LGA_Name,Population_2021,Dwelling_Count_2021
Kingborough,40769,17301
Latrobe (Tas.),12697,5816
Launceston,71788,31369
Meander Valley,21139,9276
Northern Midlands,14022,6444
Sorell,16963,8134
Southern Midlands,6834,2978
Tasman,2643,2644
Waratah-Wynyard,14629,6909
West Coast,4366,3123
West Tamar,25717,11308
Migratory - Offshore - Shipping (Tas.),,16
Alice Springs,28483,11681
Barkly,7189,2932
Belyuen,165,42
Central Desert,4118,1272
Coomalie,1400,1065
Darwin,84854,34806
Darwin Waterfront Precinct,312,258
East Arnhem,10089,1968
Katherine,10679,4436
Litchfield,22879,8883
MacDonnell,6574,2243
Palmerston,39530,14542
Roper Gulf,7435,2923
Tiwi Islands,2735,798
Victoria Daly,3221,1232
Wagait,464,293
West Arnhem,7182,2225
West Daly,3422,709
Unincorporated NT,7420,4175
Unincorporated ACT,452508,187156
Unincorp. Other Territories,2530,1376
