Population_ID,LGA_Name,Population
460,Perth,29653
461,Pingelly,1072
462,Plantagenet,5534
463,Port Hedland,16666
464,Quairading,981
465,Ravensthorpe,2157
466,Rockingham,140584
467,Sandstone,117
468,Serpentine-Jarrahdale,33349
469,Shark Bay,1069
470,South Perth,44952
471,Stirling,234322
472,Subiaco,17902
473,Swan,158689
474,Tammin,401
475,Three Springs,586
476,Toodyay,4709
477,Trayning,307
478,Upper Gascoyne,180
479,Victoria Park,38296
480,Victoria Plains,832
481,Vincent,37833
482,Wagin,1802
483,Wandering,551
484,Wanneroo,216422
485,Waroona,4355
486,West Arthur,795
487,Westonia,255
488,Wickepin,712
489,Williams,1050
490,Wiluna,570
491,Wongan-Ballidu,1336
492,Woodanilling,469
493,Wyalkatchem,484
494,Wyndham-East Kimberley,8050
495,Yalgoo,364
496,Yilgarn,1205
497,York,3553
498,Break O`Day,6933
499,Brighton,19261
500,Burnie,20408
501,Central Coast (Tas.),23258
502,Central Highlands (Tas.),2579
503,Circular Head,8325
504,Clarence,62336
505,Derwent Valley,11106
506,Devonport,26896
507,Dorset,6983
508,Flinders (Tas.),938
509,George Town,7206
510,Glamorgan-Spring Bay,5113
511,Glenorchy,51159
512,Hobart,55947
513,Huon Valley,18797
514,Kentish,6775
515,King Island,1652
516,Kingborough,40769
517,Latrobe (Tas.),12697
518,Launceston,71788
519,Meander Valley,21139
520,Northern Midlands,14022
521,Sorell,16963
522,Southern Midlands,6834
523,Tasman,2643
524,Waratah-Wynyard,14629
525,West Coast,4366
526,West Tamar,25717
527,Alice Springs,28483
528,Barkly,7189
529,Belyuen,165
530,Central Desert,4118
531,Coomalie,1400
532,Darwin,84854
533,Darwin Waterfront Precinct,312
534,East Arnhem,10089
535,Katherine,10679
536,Litchfield,22879
537,MacDonnell,6574
538,Palmerston,39530
539,Roper Gulf,7435
540,Tiwi Islands,2735
541,Victoria Daly,3221
542,Wagait,464
543,West Arnhem,7182
544,West Daly,3422
545,Unincorporated NT,7420
546,Unincorporated ACT,452508
547,Unincorp. Other Territories,2530
548,Total Australia,25685412
