Crash_ID,Time_ID,Speed_ID,State_ID,Remoteness_ID,Road_type_ID,Crash_type_ID,Vehicle_ID,Holiday_ID,Month,Year,Dayweek,LGA_name,Number Fatalities
20241230,16,7,1,3,1,1,1,2,11,2024,Monday,Hornsby,1
20241055,17,3,1,3,2,1,1,2,11,2024,Monday,Central Coast,1
20241267,20,3,1,1,2,2,1,2,11,2024,Monday,Muswellbrook,1
20242260,23,2,3,3,1,2,1,2,11,2024,Monday,Whittlesea,1
20242158,3,4,3,0,4,1,1,2,11,2024,Saturday,Unknown,1
20242057,5,1,3,1,1,1,1,2,11,2024,Saturday,Macedon Ranges,1
20242163,6,4,3,0,4,1,1,2,11,2024,Saturday,Unknown,1
20245098,6,2,6,0,4,1,3,2,11,2024,Saturday,Unknown,1
20243153,9,1,4,4,5,2,3,2,11,2024,Saturday,Mareeba,1
20242161,9,6,3,3,5,1,1,2,11,2024,Saturday,Whittlesea,1
20243172,10,11,4,1,7,1,1,2,11,2024,Saturday,Rockhampton,1
20241236,10,2,1,1,1,2,1,2,11,2024,Saturday,Mid-Coast,1
20245162,10,2,6,0,4,1,1,2,11,2024,Saturday,Unknown,1
20242213,11,4,3,0,4,1,1,2,11,2024,Saturday,Unknown,1
20242005,11,4,3,0,4,1,1,2,11,2024,Saturday,Unknown,1
20241188,11,1,1,1,3,1,1,2,11,2024,Saturday,Mid-Coast,1
20245056,11,3,6,0,4,1,5,2,11,2024,Saturday,Unknown,1
20245008,11,6,6,0,4,1,1,2,11,2024,Saturday,Unknown,1
20242114,15,4,3,0,4,2,1,2,11,2024,Saturday,Unknown,2
20243191,16,1,4,1,5,2,1,2,11,2024,Saturday,Ipswich,2
20241256,17,1,1,1,1,2,1,2,11,2024,Saturday,Muswellbrook,2
20247006,17,4,8,0,4,1,1,2,11,2024,Saturday,Unknown,1
20242207,18,4,3,0,4,1,1,2,11,2024,Saturday,Unknown,1
20242019,18,1,3,2,3,2,1,2,11,2024,Saturday,Glenelg,1
20243008,19,2,4,1,6,2,8,2,11,2024,Saturday,Bundaberg,1
20243041,21,1,4,2,5,1,1,2,11,2024,Saturday,Western Downs,1
20243001,21,2,4,2,3,1,1,2,11,2024,Saturday,Douglas,1
20244021,21,6,5,3,1,1,1,2,11,2024,Saturday,Port Adelaide Enfield,1
20243113,23,6,4,3,2,1,1,2,11,2024,Saturday,Brisbane,1
20242050,23,4,3,0,4,1,1,2,11,2024,Saturday,Unknown,1
