fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
28717,20031010,Pedestrian,Male,79,75_or_older
28718,20033244,Passenger,Male,11,0_to_16
28719,20033038,Passenger,Male,16,0_to_16
28720,20031136,Driver,Male,23,17_to_25
28721,20033029,Driver,Male,36,26_to_39
28722,20035052,Passenger,Male,17,17_to_25
28723,20033225,Driver,Male,25,17_to_25
28724,20031442,Driver,Female,50,40_to_64
28725,20031300,Pedestrian,Male,84,75_or_older
28726,20033026,Driver,Female,69,65_to_74
28727,20031330,Passenger,Female,42,40_to_64
28728,20033048,Passenger,Male,54,40_to_64
28729,20031133,Pedestrian,Male,75,75_or_older
28730,20032192,Motorcycle rider,Male,39,26_to_39
28731,20035124,Driver,Male,28,26_to_39
28732,20031105,Driver,Male,22,17_to_25
28733,20031105,Driver,Male,57,40_to_64
28734,20032244,Driver,Male,54,40_to_64
28735,20032180,Driver,Male,54,40_to_64
28736,20032180,Passenger,Female,50,40_to_64
28737,20032091,Passenger,Male,49,40_to_64
28738,20032091,Driver,Male,41,40_to_64
28739,20036030,Motorcycle rider,Male,72,65_to_74
28740,20035013,Motorcycle rider,Male,54,40_to_64
28741,20035139,Passenger,Male,39,26_to_39
28742,20031351,Driver,Male,98,75_or_older
28743,20031425,Driver,Female,36,26_to_39
28744,20031161,Passenger,Female,23,17_to_25
28745,20032022,Pedestrian,Female,69,65_to_74
28746,20035088,Driver,Male,17,17_to_25
28747,20033063,Motorcycle rider,Male,68,65_to_74
28748,20033280,Pedestrian,Male,15,0_to_16
28749,20033280,Pedestrian,Female,18,17_to_25
28750,20033280,Pedestrian,Female,15,0_to_16
28751,20032174,Driver,Male,20,17_to_25
28752,20032174,Passenger,Male,20,17_to_25
28753,20031048,Driver,Female,32,26_to_39
28754,20031028,Driver,Male,57,40_to_64
28755,20031069,Driver,Male,17,17_to_25
28756,20035128,Driver,Male,21,17_to_25
28757,20035128,Passenger,Male,25,17_to_25
28758,20031402,Passenger,Female,85,75_or_older
28759,20032075,Driver,Female,77,75_or_older
28760,20033027,Motorcycle rider,Female,41,40_to_64
28761,20037023,Passenger,Female,27,26_to_39
28762,20032011,Driver,Male,79,75_or_older
28763,20032011,Passenger,Female,76,75_or_older
28764,20032134,Passenger,Male,0,0_to_16
28765,20035027,Driver,Female,80,75_or_older
28766,20035027,Passenger,Male,87,75_or_older
28767,20035005,Driver,Male,62,40_to_64
28768,20033033,Motorcycle rider,Male,35,26_to_39
28769,20034079,Driver,Female,52,40_to_64
28770,20033079,Driver,Male,30,26_to_39
28771,20031084,Driver,Male,77,75_or_older
28772,20033202,Pedestrian,Male,87,75_or_older
28773,20032219,Driver,Male,72,65_to_74
28774,20032212,Driver,Female,17,17_to_25
28775,20037037,Pedestrian,Male,38,26_to_39
28776,20032147,Driver,Male,28,26_to_39
28777,20033149,Driver,Male,42,40_to_64
28778,20032108,Passenger,Male,61,40_to_64
28779,20031059,Pedestrian,Female,88,75_or_older
28780,20033173,Pedestrian,Female,70,65_to_74
28781,20035009,Driver,Female,88,75_or_older
28782,20032245,Pedestrian,Male,62,40_to_64
28783,20036019,Motorcycle rider,Male,26,26_to_39
28784,20035054,Pedestrian,Male,55,40_to_64
28785,20034099,Motorcycle rider,Male,20,17_to_25
28786,20036013,Motorcycle rider,Male,22,17_to_25
28787,20033228,Driver,Male,56,40_to_64
28788,20033023,Driver,Male,22,17_to_25
28789,20033075,Motorcycle rider,Male,20,17_to_25
28790,20032043,Motorcycle rider,Male,29,26_to_39
28791,20031006,Pedestrian,Female,64,40_to_64
28792,20034076,Driver,Male,80,75_or_older
28793,20031414,Passenger,Male,39,26_to_39
28794,20034074,Passenger,Female,17,17_to_25
28795,20034074,Passenger,Female,17,17_to_25
28796,20031210,Pedal cyclist,Male,9,0_to_16
28797,20033231,Motorcycle rider,Male,38,26_to_39
28798,20031183,Pedestrian,Male,73,65_to_74
28799,20031122,Motorcycle rider,Male,44,40_to_64
