Location_ID,LGA_Name,Population_2021,Dwelling_Count_2021
180,Townsville,195457,83412
181,Griffith,27195,10833
182,Wodonga,43207,18214
183,Mid-Coast,96475,50474
184,Darebin,150296,68366
185,Ballarat,113504,50347
186,Wingecarribee,52489,23623
187,Cardinia,119573,43533
188,Maroondah,116075,46937
189,Tweed,97216,44661
190,North Burnett,10142,5494
191,Moree Plains,12964,6230
192,Mornington Peninsula,170440,93602
193,Unley,39061,17360
194,Alexandrina,29257,16760
195,Gympie,53851,24767
196,Melton,181346,60363
197,Burdekin,16836,8259
198,Knox,160481,62012
199,Whittlesea,231831,82993
200,Monash,192893,76463
201,Unincorporated,,
202,Barcaldine,2863,1896
203,Wyndham,296322,100363
204,Glen Innes Severn,8925,4610
205,Brisbane,1262968,519431
206,Northern Beaches,264567,105115
207,Livingstone,39877,17841
208,Yarra Ranges,157421,61574
209,Cook,4631,3163
210,Clarence,62336,25894
211,Georges River,152800,58429
212,Maitland,90612,35456
213,Greater Hume,11109,
214,Kingston (Vic.),159554,67622
215,Manningham,125821,49918
216,Bathurst Regional,,18458
217,Wudinna,1163,616
218,Inverell,17920,8137
219,Brimbank,196631,71871
220,Darebin,150296,68366
221,Charles Sturt,123105,54847
222,Flinders (Tas.),938,689
223,Burnie,20408,9274
224,Greater Geelong,270932,120823
225,Adelaide Hills,41237,16270
226,Onkaparinga,176595,75493
227,Launceston,71788,31369
228,Indigo,17251,7750
229,Yarra,91521,50059
230,Port Phillip,103438,63301
231,Waratah-Wynyard,14629,6909
232,Campaspe,38556,17840
233,Barkly,7189,2932
234,Blacktown,399925,133984
235,Blayney,7511,3246
236,Campbelltown (SA),55456,23247
237,Latrobe (Vic.),77117,35685
238,Palmerston,39530,14542
239,Gunnedah,13088,5842
240,Break O'Day,,4850
241,Buloke,6132,3397
242,West Wimmera,3978,2255
243,Ku-ring-gai,124703,45894
244,Casey,369558,122674
245,Shoalhaven,108550,58799
246,Warrnambool,35433,16025
247,Berrigan,8615,4265
248,Warren,2584,1228
249,Victoria Daly,3221,1232
250,Moira,30367,14948
251,Brisbane,1262968,519431
252,Berri Barmera,10741,5257
253,Moonee Valley,122950,55115
254,Litchfield,22879,8883
255,Greater Dandenong,160100,58198
256,Golden Plains,24892,9408
257,Toowoomba,175255,74054
258,Moonee Valley,122950,55115
259,Onkaparinga,176595,75493
260,Inner West,183839,85462
261,Whyalla,21954,11247
262,Rockhampton,82882,35813
263,Unincorporated SA,3100,2910
264,Gladstone,64275,29868
265,Noosa,56874,28715
266,Mount Isa,19217,9053
267,Kingston (Vic.),159554,67622
268,Toowoomba,175255,74054
269,Maribyrnong,86385,40501
270,Marion,95610,41654
271,Gold Coast,633598,270761
272,Mildura,56966,25371
273,Hornsby,152263,55952
274,Mansfield,10121,6619
275,Charters Towers,11920,5974
276,Richmond Valley,23595,10692
277,Sutherland,230994,
278,Mid-Western Regional,,12262
279,Hume,246920,83980
280,Newcastle,169433,74585
281,West Tamar,25717,11308
282,Glen Eira,150638,66235
283,Sunshine Coast,346634,149005
284,Nillumbik,63450,22406
285,Yarriambiack,6510,3598
286,Pyrenees,7619,3939
287,Unincorporated,,
288,Strathfield,45963,18287
289,Bayside,,
290,Coffs Harbour,78781,34696
291,Lake Macquarie,214054,88908
292,Bundaberg,100095,46081
293,Mid Murray,9355,7413
294,Murray Bridge,22339,10164
295,Murray River,12785,6268
296,Camden,120083,39601
297,Glenorchy,51159,21879
298,Hornsby,152263,55952
299,Randwick,135219,59965
300,Strathfield,45963,18287
301,Hunters Hill,13596,5323
302,Wangaratta,29751,13677
303,Parkes,14451,6697
304,Dubbo Regional,,22823
305,Byron,36106,16996
306,Cabonne,13767,5895
307,Unincorporated ACT,452508,187156
308,Moorabool,37910,15473
309,Isaac,22419,11014
310,Benalla,14436,7211
311,Bellingen,13203,6390
312,Wellington,45469,23554
313,Central Coast,,
314,Edward River,8437,4252
315,Coorong,5599,3106
316,George Town,7206,3685
317,Ryde,129813,55742
318,Bass Coast,40675,28981
319,Richmond,769,438
320,Strathbogie,11368,6164
321,Hay,2885,1552
322,Weddin,3592,1869
323,Moorabool,37910,15473
324,Moira,30367,14948
325,Lachlan,6153,3014
326,Waverley,69397,32850
327,Northern Grampians,11886,6253
328,Charters Towers,11920,5974
329,Mareeba,23171,10199
330,Horsham,20376,9638
331,Adelaide Plains,9975,4006
332,Stonnington,106190,59609
333,Mount Remarkable,2920,1866
334,Gilgandra,4318,2137
335,Adelaide Plains,9975,4006
336,Goondiwindi,10400,4857
337,Mitchell,49712,19590
338,Cassowary Coast,29511,15123
339,Clare and Gilbert Valleys,9363,4678
340,Moreton Bay,484353,188327
341,West Torrens,62425,27977
342,Yarriambiack,6510,3598
343,Alpine,13166,7271
344,Snowy Valleys,14900,7075
345,Whitehorse,171077,71712
346,Cloncurry,3704,2123
347,Hawkesbury,67605,25523
348,Western Downs,34351,16165
349,Penrith,219239,81250
350,Redland,161709,65216
